Name,Critic_Score,Critic_Count,User_Score,User_Count,Global_Sales
Final Fantasy XIII,83,83,7.3,2483,5.33
Final Fantasy IX,94,22,8.9,779,5.3
Assassin's Creed III,84,61,6.7,1196,5.29
Final Fantasy X-2,85,45,6.6,400,5.29
Call of Duty: Advanced Warfare,81,53,5.4,898,5.27
Assassin's Creed II,90,82,8.8,1305,5.26
Madden NFL 2004,94,29,8.5,140,5.23
New Super Mario Bros. U,84,70,8.1,733,5.22
Dragon Quest VIII: Journey of the Cursed King,89,63,8.8,245,5.21
Professor Layton and the Curious Village,85,72,8.6,147,5.19
FIFA Soccer 13,90,48,6.1,403,5.16
Diablo III,88,86,4,9629,5.14
Medal of Honor: Rising Sun,68,30,7.6,100,5.13
Guitar Hero II,92,69,8.5,112,5.12
Fable III,80,88,6.5,604,5.1
Resident Evil 5,84,76,7.5,667,5.09
The Legend of Zelda: Phantom Hourglass,90,57,8,416,5.08
FIFA Soccer 11,89,51,8,233,5.07
Resident Evil,91,8,9,266,5.05
Grand Theft Auto: Vice City Stories,86,50,8,150,5.03
Tony Hawk's Pro Skater,92,18,9.2,69,5.02
Guitar Hero III: Legends of Rock,82,24,8.2,46,4.98
Link's Crossbow Training,68,34,7.1,47,4.98
Fallout 3,93,84,8.5,1655,4.93
Uncharted: Drake's Fortune,88,66,8.1,2306,4.92
Madden NFL 06,88,29,8,121,4.91
StarCraft II: Wings of Liberty,93,82,8.2,3052,4.84
Assassin's Creed,81,40,7.3,769,4.82
God of War III,92,101,8.7,2633,4.8
Crash Team Racing,88,20,9,233,4.79
LEGO Star Wars: The Complete Saga,80,9,5.4,46,4.76
Driver 2,62,14,7.7,92,4.73
Batman: Arkham City,94,87,8.7,1472,4.73
Tony Hawk's Pro Skater 2,98,19,7.7,299,4.68
The Lord of the Rings: The Two Towers,82,32,8.2,78,4.67
Tomb Raider,91,13,8.6,147,4.63
Animal Crossing: City Folk,73,50,7.6,119,4.62
Uncharted: The Nathan Drake Collection,86,78,8.1,1264,4.62
The Legend of Zelda: The Wind Waker,96,80,8.9,968,4.6
Guitar Hero III: Legends of Rock,86,36,8.4,87,4.6
Luigi's Mansion: Dark Moon,86,74,8.4,458,4.59
Forza Motorsport 4,91,83,8.2,617,4.57
Madden NFL 2005,91,30,7.9,78,4.53
Guitar Hero III: Legends of Rock,85,69,7.9,165,4.53
Madden NFL 07,84,29,8.2,39,4.49
Halo 5: Guardians,84,101,6.4,2438,4.48
Spider-Man: The Movie,76,25,7.9,41,4.48
Call of Duty: Infinite Warfare,77,82,3.4,1129,4.46
God of War,94,75,8.9,997,4.45
Splatoon,81,88,8.5,1184,4.43
Nintendo Land,77,61,7.9,471,4.42
Tony Hawk's Pro Skater 3,97,34,7.5,298,4.41
Winning Eleven: Pro Evolution Soccer 2007,86,19,8.9,33,4.39
The Elder Scrolls IV: Oblivion,94,90,8.7,1109,4.38
Need for Speed: Most Wanted,82,36,9.1,137,4.37
Michael Jackson: The Experience,56,37,8.3,31,4.36
Resistance: Fall of Man,86,70,8.1,715,4.34
