76,51,8,322,82.53
82,73,8.3,709,35.52
80,73,8,192,32.77
89,65,8.5,431,29.8
58,41,6.6,129,28.92
87,80,8.4,594,28.32
91,64,8.6,464,23.21
80,63,7.7,146,22.7
61,45,6.3,106,21.81
80,33,7.4,52,21.79
97,50,8.2,3994,21.04
95,80,9,1588,20.81
77,58,7.9,50,20.15
97,58,8.1,3711,16.27
95,62,8.7,730,16.15
77,37,7.1,19,15.29
95,54,8.4,314,14.98
88,81,3.4,8713,14.73
87,89,6.3,1454,14.61
83,21,5.3,922,13.79
83,73,4.8,2256,13.67
94,100,6.3,2698,13.47
88,39,3.2,5234,13.32
97,56,8.5,664,13.1
93,81,8.9,1662,12.84
85,73,8.2,632,12.66
88,58,6.4,1094,12.63
97,66,8.3,2899,12.61
86,57,8.7,242,12.13
94,86,7.8,4100,12.12
89,74,8.5,272,11.66
97,73,8.9,2147,11.35
98,86,7.9,2951,11.01
96,16,8.7,138,10.95
90,82,8.4,921,10.81
84,82,7.5,1112,10.7
94,67,6.3,2073,10.6
98,64,7.5,2833,10.5
73,29,2.6,2117,10.25
74,15,7.8,16,10.12
78,70,7.2,424,9.9
91,99,7.9,2045,9.86
92,20,9.2,1282,9.72
87,87,7,3260,9.71
93,23,9,135,9.49
74,24,7.3,24,9.44
71,10,2.6,1047,9.36
94,70,8.4,1320,9.31
88,70,8.7,626,9.16
72,27,7.8,85,8.91
96,89,8.4,3589,8.79
82,42,4.3,896,8.57
95,91,8.2,1218,8.49
68,42,7.4,54,8.38
62,41,6.3,190,8.27
88,37,6.6,348,8.16
92,53,8.7,1056,8.05
86,75,7.6,886,8.01
90,24,8.6,644,7.86
83,46,8.5,203,7.72
88,65,7.6,451,7.69
83,39,5.7,1443,7.66
85,41,5,398,7.59
97,87,9.1,1854,7.51
84,84,7.6,580,7.38
84,57,7.4,2142,7.32
85,33,8.6,171,7.2
49,21,8,110,7.2
85,38,7.5,1761,7.17
87,58,6.5,4228,7.16
96,15,9.1,367,7.16
95,73,9,1658,7.15
91,12,8.9,432,7.13
88,82,9.1,1599,7.09
92,38,9.1,568,7.07
82,39,8.6,132,6.9
88,29,8.5,135,6.83
74,10,7.3,28,6.76
93,90,7.7,2739,6.75
92,97,8.3,3712,6.74
94,44,8.4,993,6.68
96,105,8.8,5187,6.66
74,45,7.4,27,6.62
95,73,8.8,2456,6.49
86,37,4.3,576,6.47
85,41,6.9,1307,6.45
87,77,8.6,368,6.44
97,68,8.6,1283,6.43
92,16,6.4,2527,6.41
76,28,9,222,6.41
85,46,8.8,597,6.4
83,94,7.1,1163,6.34
95,96,9,2316,6.32
92,61,8.6,439,6.31
93,57,7.3,2182,6.29
87,22,8.1,78,6.27
91,96,7.8,1504,6.21
73,51,7.4,95,6.19
94,88,8.3,2295,6.09
82,47,5.7,988,6.08
96,42,8.7,1026,6.05
94,20,9.4,918,6.03
94,82,8.7,3558,5.99
92,64,7.6,972,5.95
95,98,9.1,8003,5.87
95,85,6.8,5311,5.82
89,13,9.2,364,5.82
87,65,8.8,197,5.78
89,8,8.9,102,5.74
76,95,6.1,5380,5.64
80,17,8.9,62,5.64
67,35,7.2,21,5.63
91,70,8.6,1202,5.55
81,77,7.7,1074,5.54
92,90,8,516,5.49
84,19,7.8,41,5.49
81,48,8.7,124,5.48
96,42,8.6,2162,5.48
97,14,7.9,764,5.48
93,24,8.3,108,5.47
66,22,7.1,156,5.42
85,45,7.6,409,5.39
93,113,7.9,7064,5.38
83,83,7.3,2483,5.33
94,22,8.9,779,5.3
84,61,6.7,1196,5.29
85,45,6.6,400,5.29
81,53,5.4,898,5.27
90,82,8.8,1305,5.26
94,29,8.5,140,5.23
84,70,8.1,733,5.22
89,63,8.8,245,5.21
85,72,8.6,147,5.19
90,48,6.1,403,5.16
88,86,4,9629,5.14
68,30,7.6,100,5.13
92,69,8.5,112,5.12
80,88,6.5,604,5.1
84,76,7.5,667,5.09
90,57,8,416,5.08
89,51,8,233,5.07
91,8,9,266,5.05
86,50,8,150,5.03
92,18,9.2,69,5.02
82,24,8.2,46,4.98
68,34,7.1,47,4.98
93,84,8.5,1655,4.93
88,66,8.1,2306,4.92
88,29,8,121,4.91
93,82,8.2,3052,4.84
81,40,7.3,769,4.82
92,101,8.7,2633,4.8
88,20,9,233,4.79
80,9,5.4,46,4.76
62,14,7.7,92,4.73
94,87,8.7,1472,4.73
98,19,7.7,299,4.68
82,32,8.2,78,4.67
91,13,8.6,147,4.63
73,50,7.6,119,4.62
86,78,8.1,1264,4.62
96,80,8.9,968,4.6
86,36,8.4,87,4.6
86,74,8.4,458,4.59
91,83,8.2,617,4.57
91,30,7.9,78,4.53
85,69,7.9,165,4.53
84,29,8.2,39,4.49
84,101,6.4,2438,4.48
76,25,7.9,41,4.48
77,82,3.4,1129,4.46
94,75,8.9,997,4.45
81,88,8.5,1184,4.43
77,61,7.9,471,4.42
97,34,7.5,298,4.41
86,19,8.9,33,4.39
94,90,8.7,1109,4.38
82,36,9.1,137,4.37
56,37,8.3,31,4.36
86,70,8.1,715,4.34
87,64,9,766,4.33
93,83,9,1607,4.32
89,95,6.5,2423,4.27
79,10,7.3,6,4.24
91,70,8.9,1122,4.23
91,68,9.3,955,4.23
80,39,7.5,613,4.22
88,39,6.2,1749,4.22
84,41,4.2,435,4.22
85,59,8.7,109,4.21
80,32,7.8,47,4.21
80,32,7.5,22,4.2
80,67,7.1,120,4.19
80,77,7.2,564,4.19
94,61,7.3,330,4.16
95,25,7.7,65,4.14
96,24,9.1,3161,4.12
91,46,7.9,785,4.09
88,31,8.4,809,4.08
93,70,8.9,709,4.07
84,81,8.1,769,4.05
90,66,8.3,381,4.05
56,27,6,44,4.05
80,80,6.3,2996,4.05
85,25,8.5,117,4.05
85,83,7.7,1653,4.04
89,76,8.6,681,3.97
92,79,9.2,10179,3.97
70,40,4.9,2050,3.96
87,89,7.6,2679,3.95
93,81,8,1958,3.95
90,57,8,910,3.94
84,65,8.8,72,3.94
81,27,8.7,39,3.9
90,38,8.7,121,3.9
86,80,8.7,348,3.89
94,32,8.1,9073,3.88
87,51,6.7,364,3.88
88,62,8.6,229,3.87
84,9,7.4,220,3.87
91,26,9.1,38,3.85
76,64,7.9,104,3.84
78,49,3.7,1564,3.83
59,22,4,4,3.83
80,64,7,2219,3.8
68,33,6.9,39,3.79
77,60,7.5,66,3.76
79,21,8,29,3.76
64,11,7.5,41,3.73
85,56,7.9,417,3.71
91,15,8.8,207,3.71
88,36,8.1,840,3.71
81,27,7.6,56,3.7
94,27,8.5,128,3.67
67,15,7.3,13,3.66
74,34,8.4,31,3.65
82,42,7.9,82,3.65
90,35,8.7,312,3.64
82,10,7.9,38,3.63
96,38,8.9,1013,3.62
86,18,7.6,71,3.62
91,56,7.6,203,3.62
82,36,8.7,142,3.61
64,23,7.7,32,3.61
78,34,8.5,161,3.6
85,18,6.9,1580,3.59
84,30,9,268,3.59
70,39,8,9,3.58
78,49,7.8,112,3.54
72,49,6.8,88,3.54
72,27,7.9,48,3.53
88,66,7.5,155,3.52
89,67,7.9,1309,3.51
72,59,4.1,1005,3.5
83,91,7.5,523,3.5
89,81,8.3,693,3.49
84,20,6.4,76,3.49
80,14,5.8,579,3.49
92,78,8.7,1080,3.48
79,21,5.6,542,3.48
88,75,8.6,869,3.47
71,70,8.8,29,3.46
83,30,8.4,28,3.45
84,83,8.2,715,3.44
79,23,8.3,126,3.44
70,15,8,67,3.42
93,86,8.2,3943,3.41
80,50,8.9,106,3.41
88,15,6.7,35,3.4
91,86,8.4,657,3.39
68,12,8.2,99,3.39
76,86,6.8,1319,3.39
76,49,7.9,75,3.38
75,11,5.5,1735,3.37
90,32,8.5,1041,3.35
77,20,8.5,66,3.33
60,34,7.2,82,3.32
87,75,7.8,228,3.31
80,21,8.5,86,3.31
86,35,7.9,701,3.3
85,31,8.7,105,3.28
82,74,7.5,563,3.28
77,39,8,94,3.27
86,62,9.2,111,3.26
84,45,4.4,459,3.25
63,43,4.6,116,3.25
83,37,5.9,180,3.24
81,81,7.7,758,3.23
85,69,7.2,1267,3.23
88,85,8.7,691,3.21
91,79,8.6,565,3.18
62,30,8.1,137,3.18
83,67,8,463,3.18
82,63,7.6,85,3.17
89,78,7.7,1010,3.17
89,22,9.1,95,3.17
87,42,8.9,137,3.15
83,12,6.5,36,3.14
87,19,9,107,3.13
73,45,6.8,155,3.13
